Ensemble,Beta,Temp,Ns,Nt,Num_cfgs,Mean_unscaled,Error_unscaled,Mean_vol_scaled,Error_vol_scaled,Mean_scaled,Error_scaled
L48T16beta4.13ms0.043547m0.000805,4.13,138.23,48,16,2000,7.650181917954507e-8,2.66485430094842e-9,0.13536782698726796,0.004715385069607803,662155.5731867469,23065.440090547167
L48T16beta4.15ms0.040843m0.000930,4.15,145.75,48,16,2024,8.105939379844996e-8,2.778260324985932e-9,0.14343232766333086,0.004916053853773507,780017.1266745898,26734.602052883576
L48T18_beta4.17ms0.040m0.0020,4.17,136.27555555555557,48,18,79,2.628908225161498e-8,3.746198162322223e-9,0.05233251931867087,0.007457391849015707,314885.4365871212,44871.22192377935
L48T18_beta4.17ms0.040m0.0020_2,4.17,136.27555555555557,48,18,72,2.519373576785908e-8,4.6436210422150294e-9,0.05015206126870328,0.009243852089411602,301765.59267433285,55620.375988332446
L40T16_beta4.17ms0.040m0.0020,4.17,153.31,40,16,17,4.5558432924573356e-8,1.4109307257553145e-8,0.046651835314763114,0.014447930631734421,280704.6884409912,86933.38298985755
L48T16beta4.17ms0.038400m0.001001,4.17,153.31,48,16,2008,8.061254791309382e-8,2.4204012494562045e-9,0.14264164638087795,0.004282832239677769,858276.6066093771,25769.856241933045
L32T14_beta4.17ms0.040m0.0020,4.17,175.21142857142857,32,14,282,1.5395630231088625e-7,2.1970637716220893e-8,0.07062776159772369,0.010079073993591767,424968.14285674586,60645.91684455235
L32T12_beta4.17ms0.040m0.0020,4.17,204.41333333333333,32,12,79,3.767364639453582e-8,2.0732319698489596e-8,0.014813880540673797,0.008152279822561285,89135.30826205215,49052.371728485436
L48T16beta4.18ms0.037265m0.001022,4.18,157.03,48,16,2029,8.191252076836949e-8,2.8906835415464454e-9,0.1449419119490483,0.0051149835876272715,914953.8997479354,32288.619059278157
L48T16beta4.20ms0.035150m0.001041,4.2,164.55,48,16,2072,6.244866600309249e-8,2.257706242512623e-9,0.11050116592982408,0.003994947980351296,765953.8421209555,27691.52459953866
L48T16beta4.23ms0.032315m0.001033,4.23,176.43,48,16,2012,2.9010982916869207e-8,1.641886956572886e-9,0.05133412196387839,0.002905272996820938,409063.7277011714,23151.10800775713
L48T16beta4.30ms0.026930m0.000939,4.3,202.52,48,16,2052,3.871093224517431e-9,8.088057614349156e-10,0.006849791070173307,0.001431159148297763,71920.57116643303,15026.704073331204
L48T16beta4.405ms0.021032m0.000760,4.405,241.6,48,16,4856,3.2712720865820687e-12,6.405090409098273e-13,5.7884243615885465e-6,1.133362813636794e-6,86.49563430491287,16.935685661479756
